,Tweet,Created_at,Positive,Negative,Neutral,Currencies,Tweeted_day_Open,Tweeted_day_High,Tweeted_day_Low,Tweeted_day_Close,Tweeted_day_Volume,Prev_30days_Open,Prev_30days_High,Prev_30days_Low,Prev_30days_Close,Prev_30days_Volume,Next_7days_Open,Next_7days_High,Next_7days_Low,Next_7days_Close,Next_7days_Volume,Next_30days_Open,Next_30days_High,Next_30days_Low,Next_30days_Close,Next_30days_Volume
40,"Use those dips to stack as much $INJ $WOO $FET 

peak Bull we Will laugh.",2023-08-01T14:51:37.000Z,0.205,0.0,0.795,WOO,0.20022599399089813,0.2036619931459427,0.19334399700164795,0.2036619931459427,8986489,0.24911700189113617,0.2586219906806946,0.24686099588871002,0.25514599680900574,23760082,0.18149299919605255,0.18725299835205078,0.1808999925851822,0.18368099629878998,12323115,0.0,0.0,0.0,0.0,0
41,"Use those dips to stack as much $INJ $WOO $FET 

peak Bull we Will laugh.",2023-08-01T14:51:37.000Z,0.205,0.0,0.795,FET,0.20795199275016785,0.21047599613666534,0.2018049955368042,0.21047599613666534,27044313,0.2362380027770996,0.2383130043745041,0.22929500043392181,0.23634099960327148,32412395,0.19518700242042542,0.20147199928760529,0.19334900379180908,0.2001120001077652,19941036,0.0,0.0,0.0,0.0,0
42,"$ATOR

Strong coin. New ath. Send it higher ! https://t.co/yiv7qowRTW https://t.co/Nb8QAUtfUR",2023-07-31T15:32:09.000Z,0.285,0.0,0.715,ATOR,0.530987024307251,0.5596150159835815,0.5038729906082153,0.5081530213356018,769349,0.4311000108718872,0.4366540014743805,0.41755300760269165,0.43045100569725037,268421,0.5385370254516602,0.591871976852417,0.4892379939556122,0.5486189723014832,680625,0.0,0.0,0.0,0.0,0
43,"Is cz done selling ? $Cake

Asking for a friend. https://t.co/cOrevMhHCc",2023-07-31T13:38:42.000Z,0.286,0.0,0.714,CAKE,1.4953160285949707,1.5912070274353027,1.4933719635009766,1.5527909994125366,86020651,1.5598399639129639,1.60561203956604,1.5550559759140015,1.597599983215332,22291551,1.4881839752197266,1.502195954322815,1.4741820096969604,1.4814189672470093,24004105,0.0,0.0,0.0,0.0,0
44,"Go vote and lets try to get $MLT listed on huobi.

🚀📈 https://t.co/VKbPkLi0mS",2023-07-31T13:36:34.000Z,0.0,0.0,1.0,MLT,0.08815199881792068,0.10022900253534317,0.08736400306224823,0.09808500111103058,463149,0.10790300369262695,0.11089500039815903,0.10649500042200089,0.1085600033402443,304317,0.09366299957036972,0.09504099935293198,0.08623400330543518,0.08623400330543518,275844,0.0,0.0,0.0,0.0,0
45,"$PLANET listed on @Bybit_Official 

Congratz @JoinOurPlanet https://t.co/Ou3oMCDBmj",2023-07-31T11:03:56.000Z,0.0,0.0,1.0,PLANET,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
46,"$Paal aint no stopping

Very dedicated team so far i have seen
Product is awasome and has actually usecase. Holders benefit from revenue sharing

Current mc is around 10 mil. But i see this going much higher.

@PaalMind https://t.co/aUQlycwpmu",2023-07-31T09:12:44.000Z,0.214,0.0,0.786,PAAL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
47,@SMonsterj I did the $Kuji ico. Still have all my tokens 🤝,2023-07-29T15:34:58.000Z,0.0,0.0,1.0,KUJI,0.7450169920921326,0.7544090151786804,0.7368890047073364,0.7507619857788086,157857,0.8318099975585938,0.8683030009269714,0.8309950232505798,0.8618389964103699,216908,0.7864329814910889,0.7864329814910889,0.7480279803276062,0.761614978313446,193038,0.0,0.0,0.0,0.0,0
48,"Some lowcaps that i still hodl even i didnt mention them alot. I still believe they will ultra shine in the bulla market

$OPTI (AI)
$MLT (metaverse)
$BOB (BOT )
$MTRG  hybrid blockchain",2023-07-29T15:30:35.000Z,0.0,0.0,1.0,BOB,0.0024739999789744616,0.002724000019952655,0.002471999963745475,0.0024739999789744616,25,0.003192000091075897,0.003208999987691641,0.00317799998447299,0.0031799999997019768,163,0.002432999899610877,0.002432999899610877,0.002432999899610877,0.002432999899610877,0,0.0,0.0,0.0,0.0,0
49,"Some lowcaps that i still hodl even i didnt mention them alot. I still believe they will ultra shine in the bulla market

$OPTI (AI)
$MLT (metaverse)
$BOB (BOT )
$MTRG  hybrid blockchain",2023-07-29T15:30:35.000Z,0.0,0.0,1.0,OPTI,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
